"","GSM944836","GSM944850","GSM944857","GSM944843","GSM944854","GSM944847","GSM944833","GSM944840","GSM944835","GSM944849","GSM944863","GSM944842","GSM944845","GSM944838","GSM944859","GSM944831","GSM944865","GSM944837","GSM944858","GSM944851","GSM944862","GSM944855","GSM944841","GSM944834"
"1415677_at",8.00849952917301,8.26209430872365,8.47940446643305,8.30586924763096,7.26265764170005,7.711287562678,7.47863591865018,7.55730054302371,7.88064926876936,8.50393709838791,8.73549397952524,8.68748410781403,7.53300012406641,7.47381599203279,7.73218041069488,7.37648294479532,8.49458818873769,8.35864111035053,8.53581307532532,8.41267704297684,7.6156643796954,7.95375340954717,7.6400482920978,7.50943996980744
"1415682_at",10.6478142760437,10.1310963877629,10.8599800921357,10.4908508540216,9.64517210730812,9.78071903789247,9.47689589686881,10.3168186507559,9.39305576229894,10.2283391129651,9.10621697188837,8.62411504874817,11.0203955750264,10.8714653007394,10.6377711531455,10.3943319952541,10.8582479539593,10.7645518741331,10.4432156565926,10.5333100686905,10.7094986922375,9.8374418994839,9.29597265907607,9.95091940162976
"1415703_at",7.83936776608185,7.93597184142672,7.78669264422749,7.8795736779229,8.59763523251855,8.71558385709541,8.3812078055504,8.56208089943373,8.25596272116713,7.71459836267472,7.90389848192864,7.66473892055277,8.65946768427119,8.40176561615303,8.69492214379495,8.60490227628328,7.66053843714359,7.73529519717759,7.95097915344649,7.77261995103016,8.40620223265739,8.90993407753701,8.9824264462785,8.53411300452942
"1415708_at",8.83325672882903,8.91338615630821,8.75137197273804,8.92404260790615,9.62663531952213,9.91382341525322,9.74186183333577,9.61476421416545,9.07910034340007,8.93626793740001,9.07195335620317,9.3522589438186,9.70790800483856,9.48205791100183,9.7500356764645,9.72809039307342,8.91091500439885,8.86689051287803,8.97793961190758,8.93184361408374,9.43078696912987,10.0170804593849,10.0315280110329,9.64670752834067
"1415716_a_at",12.1997650512716,12.3503142240021,11.9686649281491,12.6168919814433,13.0063199708367,13.3912822032532,13.4623831064353,13.0292042322199,13.1132859687123,12.2446938103024,12.2330214011044,12.406548402143,13.0369318611686,13.0245402595314,13.1836126049828,13.3405028061402,12.4540324568069,12.2099988469433,12.4834363044152,12.2297942365842,13.3363437427275,13.4233756434474,13.5399864628448,13.2380457106824
"1415723_at",12.9766977514576,12.7232582884352,12.889212056338,12.7969123897581,12.2049523412943,12.181521283125,11.9651167289566,12.4639966825303,12.146652320179,12.8242625453841,11.829281546034,11.3399301257369,12.5874046701526,12.5845997990192,12.5554645959603,12.5457853930938,12.821670244859,12.9727478741746,12.6947759342498,12.9055403283009,12.5322381627913,12.18674935861,12.0410156041952,12.3160370356931
"1415756_a_at",6.9264947479756,7.31529164303968,7.0845438029219,7.23683990740779,7.85143982909241,8.11965263520963,8.09735776571027,7.85978953949694,7.92323929577362,7.31900832867165,7.44501053595559,7.36538836944159,8.12167438827308,7.73785681401761,8.23939966497684,8.07467500806897,7.09263829097283,7.47105130546701,7.48893358005679,7.21208356006902,7.87017210287646,8.33371151045081,8.47884456991164,7.85828191271243
"1415758_at",8.27170429851555,8.34426273040686,8.11029947675128,8.34964694383487,9.13093952633097,9.17360586642384,9.27009909410658,8.92676841445238,8.33659662811473,8.29540910941564,8.41748858178055,8.40475233793332,9.13049786210197,8.84992070683705,9.20739973573781,9.13713397097677,8.33015652602488,8.17567972115322,8.28755690582486,8.3303468470724,9.12558113042075,9.3641729674507,9.39285264060343,8.97572033330673
"1415770_at",7.51261013622688,7.36764616529741,7.38847735066541,7.24469853633333,8.24280119783957,8.32804713537815,8.04508176320766,7.98322743571886,7.12275214384681,7.35093341946188,7.2880910283188,7.27068935493763,8.19992064246325,7.99246263362495,8.3748476905821,8.20212062974059,7.40479056710127,7.3249247161445,7.4349249687158,7.28364313069101,8.10624639020355,8.47402622741149,8.4716934055646,8.29987279335751
"1415771_at",8.09849549206819,8.26342713039662,7.88484436555649,7.87275539334937,8.56810398716618,8.86230192830173,8.80808864345924,8.3113718585901,9.54107749424792,7.78299393804724,8.38183577005333,8.19825893902796,8.6490320527509,8.70409828779861,8.85479418938683,8.83446648019568,7.82256667563364,8.40743987370446,8.05627091826957,7.98117333211207,8.67486624426096,9.1948495728606,9.47585861828056,8.78244103233003
